Rank,Market,Retail valueUS$ (millions),Streaming,Physical,Digital,Performance rights,Synchronization
1,United States,n/a,n/a,n/a,n/a,n/a,n/a
2,Japan,n/a,n/a,n/a,n/a,n/a,n/a
3,United Kingdom,n/a,n/a,n/a,n/a,n/a,n/a
4,Germany,n/a,n/a,n/a,n/a,n/a,n/a
5,France,n/a,n/a,n/a,n/a,n/a,n/a
6,South Korea,n/a,n/a,n/a,n/a,n/a,n/a
7,China,n/a,n/a,n/a,n/a,n/a,n/a
8,Canada,n/a,n/a,n/a,n/a,n/a,n/a
9,Australia,n/a,n/a,n/a,n/a,n/a,n/a
10,Netherlands,n/a,n/a,n/a,n/a,n/a,n/a
,Global total,"21,600","13,400","4,200","1,200","2,300",400
